CAMPO,CONTRATO,CUENCA,EMPRESA,DEPARTAMENTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Cuerva Noroeste,La Cuerva,Llanos Orientales,HUPECOL LLC,Casanare,0,0,265,180,202,186,188,201,194,138,189,181
Cuerva Oeste,La Cuerva,Llanos Orientales,HUPECOL LLC,Casanare,1273,1297,1240,1162,1379,1601,1531,1575,1488,1224,1296,1209
Cuerva Sur,La Cuerva,Llanos Orientales,HUPECOL LLC,Casanare,416,383,390,371,368,359,314,313,285,274,244,239
Cuerva Suroeste,La Cuerva,Llanos Orientales,HUPECOL LLC,Casanare,32,98,97,94,32,77,83,88,85,70,34,48
Cumbre,Llanos 20,Llanos Orientales,PAREX RESOURCES COLOMBIA,Casanare,762,746,684,643,590,560,599,488,440,361,317,287
Cupiagua,Operación Directa Cupiagua,Llanos Orientales,ECOPETROL S.A.,Casanare,11985,11320,10172,10951,8833,11845,11003,11694,11604,11671,10600,10228
Cupiagua,Recetor,Llanos Orientales,EQUION ENERGIA LTD.,Casanare,4697,4767,4887,4152,3919,4779,5115,4745,4690,4824,4713,4273
Cupiagua Sur,Operación Directa Cupiagua,Llanos Orientales,ECOPETROL S.A.,Casanare,8205,7955,7395,7194,7111,7044,6515,6379,6289,7299,6570,5845
Curiara,El Portón,Llanos Orientales,CEPCOLSA,Casanare,0,0,0,0,39,0,0,0,0,0,0,0
Curito,Casanare Este,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Casanare,0,0,0,0,18,1747,2809,2813,2584,4462,7377,8322
Cusiana,Río Chitamena/Tauramena,Llanos Orientales,EQUION ENERGIA LTD.,Casanare,6636,5679,8368,8086,7458,7731,7681,7030,7408,5959,6566,6196
Cusiana,Cusiana Norte,Llanos Orientales,ECOPETROL S.A.,Casanare,6132,5987,5536,5766,5423,5247,5479,6359,5907,4923,5112,5129
Cusuco,CPO-10,Llanos Orientales,ECOPETROL S.A.,Meta,0,0,0,0,46,0,0,0,0,0,0,0
Delta,Buganviles,Valle Superior del Magdalena,PACIFIC STRATUS ENERGY,Tolima,16,16,16,15,13,13,11,10,10,8,9,9
Dina Cretáceos,Neiva,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,566,571,539,451,473,502,513,501,506,528,483,541
Dina Terciarios,Neiva,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,5594,5743,5824,5852,5354,5345,5366,5435,5507,5512,5213,5240
Disa,Mapache,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Casanare,565,732,699,686,644,75,0,0,0,0,0,0
Doña María,Lebrija,Valle Medio del Magdalena,PETROLEOS DEL NORTE S.A.,Cesar,31,31,31,32,30,31,30,30,30,30,30,30
Dorcas,CPO-17,Llanos Orientales,HOCOL S.A.,Meta,0,0,0,32,19,0,0,0,8,29,25,99
Dorotea A,Dorotea,Llanos Orientales,NEW GRANADA ENERGY CO.,Casanare,8,5,7,7,7,5,5,5,5,4,5,4
Dorotea B,Dorotea,Llanos Orientales,NEW GRANADA ENERGY CO.,Casanare,7847,5288,7364,8382,9574,8801,8719,8923,8991,8696,7888,7389
Elizita,Caracara,Llanos Orientales,CEPCOLSA,Meta,2197,2099,2184,2122,2044,2007,1869,1931,1852,1413,1976,2020
Embrujo,Caño Sur,Llanos Orientales,ECOPETROL S.A.,Meta,0,33,6,37,0,0,0,0,0,0,0,0
Entrerrios,Entrerrios CDNDCI,Llanos Orientales,CANACOL ENERGY COLOMBIA S.A.,Casanare,180,184,161,165,176,114,122,183,271,576,656,604
Espino,Area Río Ceibas,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,18,20,21,18,19,19,18,17,19,19,16,16
Estero,Alcaravan,Llanos Orientales,COLOMBIA ENERGY DEVELOPMENT CO.,Casanare,194,192,180,170,170,167,162,147,113,112,115,120
Fauno,Caño Sur,Llanos Orientales,ECOPETROL S.A.,Meta,191,221,333,537,515,617,651,826,714,856,899,862
Fénix,Fénix,Valle Medio del Magdalena,AMERISUR EXPLORACION COLOMBIA,Santander,2,1,1,1,1,2,0.42,0,3,0,1,0
Flami,Llanos 27,Llanos Orientales,NCT ENERGY GROUP,Casanare,474,426,389,354,318,294,273,258,244,230,222,217
Floreña,Piedemonte,Llanos Orientales,EQUION ENERGIA LTD.,Casanare,8287,6871,6652,6604,6202,6077,6127,5826,5820,5564,5703,5283
Fontana,Caño Sur,Llanos Orientales,ECOPETROL S.A.,Meta,0,0,0.06,1,0,0,0,0,0,0,0,0
Gala,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,1724,1715,1635,1641,1694,1914,2111,2317,2305,2673,2629,2623
Galán,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,918,945,907,904,843,835,880,863,806,787,736,711
Garzas,Yarigui-Garzas,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,582,576,571,552,554,525,521,506,489,471,473,426
Garzas Doradas,Las Garzas,Llanos Orientales,NEW GRANADA ENERGY CO.,Vichada,174,172,170,175,148,166,155,61,0,0,54,153
Gavan,Apiay,Llanos Orientales,ECOPETROL S.A.,Meta,2877,2805,2828,2751,2467,2839,2679,3254,3644,3320,3042,3089
Gemar,Cravoviejo,Llanos Orientales,C&C ENERGÍA,Casanare,0,0,0,0,0,0,0,0,0,0,0,7
Gigante,Matambo,Valle Superior del Magdalena,EMERALD ENERGY PLC SUCURSAL COLOMBIA,Huila,1249,1009,759,1110,1214,1012,1159,1539,386,368,533,600
Girasol,Nare,Valle Medio del Magdalena,MANSAROVAR ENERGY COLOMBIA LTD.,Boyacá,6055,6002,5966,5992,6010,5877,5773,5935,6164,6004,5881,6105
Greta Oto,Cachicamo,Llanos Orientales,C&C ENERGÍA,Casanare,450,563,653,798,756,704,603,533,529,501,466,444
Guacharaca,Cachicamo,Llanos Orientales,C&C ENERGÍA,Casanare,491,392,361,306,189,312,562,697,822,1130,944,643
Guaduas,Dindal / Rio Seco,Valle Medio del Magdalena,PACIFIC STRATUS ENERGY,Cundinamarca,900,790,646,631,608,583,499,494,480,473,449,418
Guahibos,Guachiria,Llanos Orientales,LEWIS ENERGY COLOMBIA INC.,Casanare,139,145,132,138,130,122,115,109,107,96,91,89
Guainiz,CPO-10,Llanos Orientales,ECOPETROL S.A.,Meta,0,0,0,0,0,0,0,83,0,0,0,0
Guala,Corcel,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Meta,541,517,485,220,255,233,233,223,205,200,194,188
Guanapalo,Estero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,104,109,118,113,120,117,112,113,111,84,2,2
Guando,Boqueron,Valle Superior del Magdalena,PETROBRAS COLOMBIA LIMITED,Tolima,13551,13348,12222,12691,12767,12735,12592,12323,12142,11528,10512,11119
Guarilaque,Orocue,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,1949,1895,1863,1840,1752,1731,1732,1722,1700,1703,1965,1859
Guariquies,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,35,1,22,34,30,34,34,35,30,28,28,26
Guarrojo,Guarrojo,Llanos Orientales,HOCOL S.A.,Meta,695,646,647,322,645,647,744,905,823,766,874,862
Guasar,Garcero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,744,734,738,772,753,774,778,785,661,722,583,569
Guatiquía,Apiay,Llanos Orientales,ECOPETROL S.A.,Meta,4303,4030,3967,3929,3931,4008,4396,4397,4605,5081,4741,4795
Guayuriba,Suria,Llanos Orientales,ECOPETROL S.A.,Meta,21,12,0,138,34,10,13,14,0,0,1,4
Guayuyaco,Guayuyaco,Putumayo,GRAN TIERRA ENERGY COLOMBIA LTD,Cauca,544,553,349,362,483,476,460,400,388,469,459,447
Hato Nuevo,Alto Magdalena,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,0,0,0,0,0,0,0,0,0,0,157,263
Heredia,Cravoviejo,Llanos Orientales,C&C ENERGÍA,Casanare,290,258,244,199,166,189,172,157,144,130,124,147
Hoatzin,Cachicamo,Llanos Orientales,C&C ENERGÍA,Casanare,1141,1132,993,985,845,999,909,941,983,931,882,831
Hormiga,Orito,Putumayo,ECOPETROL S.A.,Putumayo,103,15,114,117,110,95,64,37,78,104,72,26
Hurón,Niscota,Llanos Orientales,EQUION ENERGIA LTD.,Casanare,0,0,14,206,308,267,0,0,0,0,0,0
Infantas,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,8675,8852,9145,9189,8879,9114,9308,9585,9386,9567,9825,10159
Jaguar SW,Caracara,Llanos Orientales,CEPCOLSA,Meta,1052,976,831,986,1098,1520,1501,1526,1542,1598,1483,2223
Java,Llanos 16,Llanos Orientales,PAREX RESOURCES COLOMBIA,Casanare,351,195,236,245,221,107,0,0,0,0,0,0
Jazmín,Nare,Valle Medio del Magdalena,MANSAROVAR ENERGY COLOMBIA LTD.,Boyacá,7252,7265,7217,7229,7110,6806,6901,7012,7206,6989,6830,6639
Jiba,Chipiron,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,497,14,23,23,21,5,0,0,0,0,0,0
Jiba Unificado,Chipiron,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,473,298,434,430,246,76,180,216,181,373,594,470
Jilguero,Garibay,Llanos Orientales,CEPCOLSA,Casanare,1244,1235,1212,1204,1206,1146,1150,984,1151,1206,1229,1165
Jilguero Sur,Tiple,Llanos Orientales,CEPCOLSA,Casanare,1328,1340,1359,1282,1193,1133,1014,596,844,831,803,769
Jorcan,Garcero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,19,18,17,18,20,19,15,18,18,16,0,0
Jordan,Garcero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,813,807,770,719,694,686,656,638,614,575,570,539
Juanambu,Guayuyaco,Putumayo,GRAN TIERRA ENERGY COLOMBIA LTD,Putumayo,1056,892,1205,1217,1263,1290,1248,1222,1180,1120,985,938
Juglar,La Paloma,Valle Medio del Magdalena,UNION TEMPORAL PETROCARIBE S.A,Santander,251,202,217,219,208,153,106,239,253,209,247,252
Kamal,CPO-5,Llanos Orientales,ONGC VIDESH LIMITED,Meta,0,0,0,0,0,2,0,0,0,0,0,0
Kitaro,Cabrestero,Llanos Orientales,CEPCOLSA,Casanare,719,808,659,310,150,120,6,0,0,0,0,0
Kona,Llanos 16,Llanos Orientales,PAREX RESOURCES COLOMBIA,Casanare,5104,5677,5815,5240,4914,5050,4263,4028,3854,3677,3349,3500
La Cañada Norte,San Jacinto,Valle Superior del Magdalena,HOCOL S.A.,Huila,1827,1849,1577,1810,1776,1683,1691,1818,1803,1837,1809,1876
La Casona,El Eden,Llanos Orientales,PAREX RESOURCES COLOMBIA,Casanare,0,220,142,0,0,0,0,0,0,0,0,470
La Cira,La Cira Infantas,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,27910,27322,26449,26702,26618,26637,26076,27005,27120,28043,28765,29665
La Creciente A,La Creciente,Valle Inferior del Magdalena,PACIFIC STRATUS ENERGY,Sucre,31,27,28,23,22,20,14,21,21,19,17,18
La Creciente D,La Creciente,Valle Inferior del Magdalena,PACIFIC STRATUS ENERGY,Sucre,0,1,0,0,1,1,0.26,1,0,4,6,8
La Flora,Casanare,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,331,261,371,399,0,0,0,31,382,416,396,404
La Gloria,Casanare,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,2439,2369,2290,2260,2270,2184,2988,2772,2505,3186,2786,2963
La Gloria Norte,Casanare,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,268,229,314,309,273,318,299,270,752,1486,1919,1960
La Guira,Los Ocarros,Llanos Orientales,PAREX RESOURCES COLOMBIA,Casanare,0,0,0,0,0,0,0,0,0,2,23,0
La Hocha,Río Paez,Valle Superior del Magdalena,HOCOL S.A.,Huila,1520,1418,1556,1666,1754,1670,1461,1505,1604,1692,1598,1462
La Jagua,CEE La Jagua,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,49,50,52,55,49,48,49,45,46,43,40,44
La Punta,La Punta CDNDCI,Llanos Orientales,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S,Casanare,1709,1641,1523,1469,1399,1057,1003,1055,1057,1098,1047,900
La Reforma,Apiay,Llanos Orientales,ECOPETROL S.A.,Meta,0,0,0,0,0,0,0,0,0,0,39,31
La Rompida,La Rompida,Valle Medio del Magdalena,ECOPETROL S.A.,Antioquia,0,0,0,0,0,0,0,0,53,23,0,0
La Salina,Las Monas,Valle Medio del Magdalena,PETROSANTANDER (COLOMBIA INC),Santander,2162,2220,2182,2203,2225,2198,2243,2269,2233,2453,2426,2498
Labrador,Llanos 23,Llanos Orientales,CANACOL ENERGY COLOMBIA S.A.,Casanare,1490,1454,1395,1351,1911,3243,3979,3630,3729,3853,4477,5001
Las Acacias,Campo Rico,Llanos Orientales,EMERALD ENERGY PLC SUCURSAL COLOMBIA,Casanare,219,208,190,153,135,185,163,178,159,144,144,133
Las Maracas,Los Ocarros,Llanos Orientales,PAREX RESOURCES COLOMBIA,Casanare,8227,8923,8146,8711,9809,10598,10912,11698,12200,12450,12471,12144
Leona A,Leona,Llanos Orientales,NEW GRANADA ENERGY CO.,Casanare,0,0,0,88,46,8,0,0,0,0,1,0
Leona A Sur,Leona,Llanos Orientales,NEW GRANADA ENERGY CO.,Casanare,0,0,0,0,0,0,0,0,14,30,13,0
Leona B,Leona,Llanos Orientales,NEW GRANADA ENERGY CO.,Casanare,55,52,127,146,143,128,101,91,94,91,86,83
Leona B Norte,Leona,Llanos Orientales,NEW GRANADA ENERGY CO.,Casanare,0,0,197,138,114,46,7,90,69,57,52,45
Leona B Sur,Leona,Llanos Orientales,NEW GRANADA ENERGY CO.,Casanare,63,74,235,215,195,274,428,352,69,13,272,313
Leona C,Leona,Llanos Orientales,NEW GRANADA ENERGY CO.,Casanare,239,131,158,149,123,95,101,123,23,0,261,161
Leono,Llanos 23,Llanos Orientales,CANACOL ENERGY COLOMBIA S.A.,Casanare,0,0,0,0,0,0,0,0,0,0,0,556
Libertad,Apiay,Llanos Orientales,ECOPETROL S.A.,Meta,0,0,0,0,94,120,134,116,159,192,115,237
Libertad Norte,Apiay,Llanos Orientales,ECOPETROL S.A.,Meta,0,0,0,0,0,0,0,0,214,177,182,231
Liebre,El Piñal,Valle Medio del Magdalena,PETROSANTANDER (COLOMBIA INC),Santander,66,69,69,68,68,68,67,66,63,62,60,58
Lilia,Opon,Valle Medio del Magdalena,COPP S.A.,Santander,0,0,0,0,0.06,0,0,0,0,0,0,0
Linda,Santana,Putumayo,GRAN TIERRA ENERGY COLOMBIA LTD,Putumayo,20,11,1,0,0,0,0,0,0,0,0,0
Lisa,Guasimo,Valle Superior del Magdalena,PACIFIC STRATUS ENERGY,Tolima,0,0,0,0,4,9,12,6,6,4,2,2
Lisama,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,1414,1436,1409,1294,1237,1273,1235,1175,1194,1174,1212,1206
Lisama Profundo,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,151,154,162,236,219,162,160,166,151,150,163,168
Llanito,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,2567,2455,2391,2337,2280,2111,2353,2511,2425,2617,2408,2338
Llanos 58,Llanos 58,Llanos Orientales,HUPECOL LLC,Meta,0,0,7,3,302,316,513,2332,3472,3826,4234,3491
Lomalarga,Neiva,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,466,387,443,423,411,401,388,397,369,328,326,315
Loro,Orito,Putumayo,ECOPETROL S.A.,Putumayo,717,457,568,674,994,883,789,572,417,642,637,1110
Los Aceites,Guachiria,Llanos Orientales,LEWIS ENERGY COLOMBIA INC.,Casanare,371,446,416,392,387,375,362,338,314,312,294,289
Los Angeles,Tisquirama-b,Valle Medio del Magdalena,PETROLEOS DEL NORTE S.A.,Cesar,1326,1317,1207,1221,1260,1129,1189,1179,1091,1075,1036,968
Los Hatos,Los  Hatos,Llanos Orientales,COLOMBIA ENERGY DEVELOPMENT CO.,Casanare,39,38,38,37,37,36,29,24,25,25,27,26
Los Potros,Campo Rico,Llanos Orientales,EMERALD ENERGY PLC SUCURSAL COLOMBIA,Casanare,118,94,115,220,200,192,0,0,0,0,0,13
Los Toros,Estero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,115,116,101,104,106,105,107,109,105,119,105,89
Loto,CPO-5,Llanos Orientales,ONGC VIDESH LIMITED,Meta,0,0,0,18,0,0,0,0,0,0,0,0
Malawi,Llanos 16,Llanos Orientales,PAREX RESOURCES COLOMBIA,Casanare,125,107,16,0,0,0,0,0,0,0,0,0
Mambo,Corcel,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Meta,334,253,214,191,117,52,95,100,9,0,0,0
Mamey,Samán,Valle Inferior del Magdalena,HOCOL S.A.,Sucre,0,0,0,0,0,0,0,0,0,6,0,0
Mana,Mana,Valle Superior del Magdalena,INTEROIL COLOMBIA E&P,Tolima,943,1034,966,946,920,1035,1134,1340,1376,1355,1331,1350
Manamo,Guama,Valle Inferior del Magdalena,PACIFIC STRATUS ENERGY,Magdalena,0,27,0,0,0,0,0,0,0,0,0,0
Manatus,Puntero,Llanos Orientales,CEPCOLSA,Casanare,0,0,152,176,17,0,0,0,149,436,330,285
Maniceño,Llanos 32,Llanos Orientales,P1 ENERGY DELTA CORP.,Casanare,1590,1346,1092,974,904,632,563,579,471,319,225,250
Mansoyá,Mansoyá,Putumayo,ECOPETROL S.A.,Putumayo,48,485,484,288,15,147,178,168,96,128,158,227
Mantis,Casimena,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Casanare,1104,701,976,1405,1753,2799,3589,3171,3004,2655,2493,2438
Mapache,Mapache,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Casanare,0,0,0,0,0,77,111,97,88,72,0,0
Mary,Santana,Putumayo,GRAN TIERRA ENERGY COLOMBIA LTD,Cauca,398,395,358,392,398,398,398,393,399,398,393,394
Matachin,Espinal,Valle Superior del Magdalena,PETROBRAS COLOMBIA LIMITED,Tolima,10272,9884,9402,8839,7921,7933,7909,7494,6998,6623,6237,6133
Matanegra Oeste,Chipiron,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,20,11,16,20,21,4,15,39,44,16,53,45
Mateguafa,Tapir,Llanos Orientales,PETROLCO S.A.,Casanare,19,19,18,18,16,12,18,17,17,15,13,12
Matemarrano,Cravoviejo,Llanos Orientales,C&C ENERGÍA,Casanare,99,89,72,73,58,54,43,18,120,177,172,161
Mauritia Este,Moriche,Llanos Orientales,UNION TEMPORAL MORICHE (PACIFIC STRATUS ENERGY),Casanare,0,0,0,43,69,2,0,0,0,45,91,101
Mauritia Norte,Moriche,Llanos Orientales,UNION TEMPORAL MORICHE (PACIFIC STRATUS ENERGY),Casanare,0,0,0,9,10,1,0,0,0,8,8,9
Max,Llanos 34,Llanos Orientales,GEOPARK COLOMBIA PN S.A,Casanare,1203,1081,2303,2315,2160,1574,1743,1573,1568,1536,1199,1345
Maya,Corcel,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Casanare,68,232,147,97,58,1,0,0,0,0,0,0
Medina,Cóndor,Cordillera Oriental,NIKOIL ENERGY CORP. SUCURSAL COLOMBIA,Boyacá,0,0,0,0,0,12,20,90,140,112,84,30
Merlín,CPO-17,Llanos Orientales,HOCOL S.A.,Meta,0,0,3,5,14,4,0,0,0,0,0,0
Miraflor,Santana,Putumayo,GRAN TIERRA ENERGY COLOMBIA LTD,Cauca,87,0,0,0,0,0,0,0,0,0,0,15
Mirto,Maranta,Putumayo,EMERALD ENERGY PLC SUCURSAL COLOMBIA,Putumayo,652,595,407,330,306,614,277,49,0,0,0,0
Mito,Caño Sur,Llanos Orientales,ECOPETROL S.A.,Meta,131,124,134,139,168,255,160,284,220,221,239,422
Mochelo,Río Ariari,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Meta,199,483,79,636,266,0,0,0,0,0,36,188
Mono Araña,VMM2,Valle Medio del Magdalena,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S,Cesar,90,0,559,596,893,89,0,0,0,0,0,11
Moqueta,Chaza,Putumayo,GRAN TIERRA ENERGY COLOMBIA LTD,Putumayo,3094,3359,3696,4096,3082,4220,4485,4090,4353,4250,4238,4803
Morichal,Casanare,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,2306,2159,2106,1951,1778,1570,1264,1055,841,1708,2163,1864
Moriche,Nare,Valle Medio del Magdalena,MANSAROVAR ENERGY COLOMBIA LTD.,Boyacá,11848,12083,12765,12622,12343,12007,11704,11794,12097,12218,12358,12146
Morpho,Morpho,Valle Medio del Magdalena,C&C ENERGÍA,Cundinamarca,0,0,0,0,0,0,0,119,95,92,90,84
Morrocoy,Cosecha,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,796,451,623,623,541,224,485,538,407,211,415,179
Nancy,Nancy-Burdine-Maxine,Putumayo,UNION TEMPORAL II&B,Putumayo,377,375,340,368,329,116,13,181,31,8,0,0
Nare,Nare,Valle Medio del Magdalena,MANSAROVAR ENERGY COLOMBIA LTD.,Antioquia,290,311,311,303,295,287,260,178,339,338,319,332
Nashira Norte,Nashira,Llanos Orientales,SOGOMY ENERGY,Casanare,0,449,853,787,915,1019,1084,1222,1153,1204,1139,784
Nelson,Esperanza,Valle Inferior del Magdalena,GEOPRODUCTION OIL & GAS COMPANY,Córdoba,0,0,0,0,0,0,0,0,0,0,0,13
Nutria,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,1982,1917,1864,1873,1734,1665,1626,1545,1375,1500,1602,1604
Ocelote,Guarrojo,Llanos Orientales,HOCOL S.A.,Meta,16075,15414,15200,15171,15056,14662,14337,15033,15377,15304,15668,15236
Ojo de Tigre,Puntero,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Casanare,0,0,0,0,44,0,43,0,0,90,83,34
Onca,Puntero,Llanos Orientales,CEPCOLSA,Casanare,0,0,28,429,0,448,515,490,520,520,579,528
Ópalo,Quifa,Llanos Orientales,META PETROLEUM CORP.,Meta,844,811,695,690,567,670,667,534,491,765,1211,1155
Opon,Opon,Valle Medio del Magdalena,COPP S.A.,Santander,21,21,20,20,20,18,19,18,19,18,18,17
Orito,Orito,Putumayo,ECOPETROL S.A.,Putumayo,3812,3463,3211,3138,3184,4591,4281,3880,3513,3409,2501,2600
Oropendola,Oropendola,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,513,459,560,520,442,462,480,454,433,383,766,517
Ortega,Ortega,Valle Superior del Magdalena,ECOPETROL S.A.,Tolima,246,240,225,231,227,219,220,212,217,151,170,243
Oso Pardo,Santa Isabel,Valle Medio del Magdalena,CANACOL ENERGY COLOMBIA S.A.,Cesar,0,0,0,0,0,0,0,63,173,166,152,141
Pacandé,Pacandé,Valle Superior del Magdalena,ECOPETROL S.A.,Tolima,767,746,739,729,766,743,741,750,745,724,623,748
Palagua,Palagua,Valle Medio del Magdalena,ECOPETROL S.A.,Boyacá,5550,5447,5640,5609,5763,6348,6714,6890,6778,6742,6847,6864
Palermo,Palermo,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,217,207,216,219,195,216,210,213,210,238,231,240
Palmarito,Garcero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,346,341,329,365,385,305,288,309,419,404,385,396
Palogrande,Neiva,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,1088,1047,1051,1033,1009,1050,1154,1125,1062,1160,1297,1284
Paravare,Garcero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,354,261,308,340,432,444,375,446,441,443,478,445
Pastinaca,CPO-10,Llanos Orientales,ECOPETROL S.A.,Meta,0,60,0,0,0,0,0,0,0,0,0,0
Pastora,Chipiron,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,39,28,32,36,35,13,18,0,0,0,0,0
Pauto Sur Piedemonte,Piedemonte,Llanos Orientales,EQUION ENERGIA LTD.,Casanare,20757,21650,20751,20302,19474,21264,18336,17993,18204,18876,19300,21286
Pauto Sur Recetor,Recetor,Llanos Orientales,EQUION ENERGIA LTD.,Casanare,1790,1812,1832,1795,1326,1735,1745,1733,1713,1663,1611,0
Pavas,Pavas,Valle Medio del Magdalena,UNION TEMPORAL IJP,Norte de Santander,66,65,65,62,64,65,65,61,59,59,64,61
Payoa,Las Monas,Valle Medio del Magdalena,PETROSANTANDER (COLOMBIA INC),Santander,911,909,890,902,871,898,907,906,904,873,847,867
Payoa West,Las Monas,Valle Medio del Magdalena,PETROSANTANDER (COLOMBIA INC),Santander,15,14,12,12,14,14,14,15,13,13,13,11
Peguita,Caracara,Llanos Orientales,CEPCOLSA,Meta,2790,3777,4165,4116,4732,4596,4230,3962,3947,3610,4019,3766
Pendare,CPO-13,Llanos Orientales,TECPETROL COLOMBIA S.A.S.,Meta,0,0,0,16,0,63,98,130,377,414,407,300
Peñas Blancas,Casabe,Valle Medio del Magdalena,ECOPETROL S.A.,Antioquia,200,204,216,214,228,170,232,198,194,129,176,207
Peroles,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,37,37,35,29,27,26,24,24,26,27,29,28
Petirrojo,Cubiro,Llanos Orientales,ALANGE ENERGY,Casanare,1331,1903,2011,1782,1730,1805,1957,1782,1721,1624,1583,1551
Petrólea,Barco,Catatumbo,ECOPETROL S.A.,Norte de Santander,51,115,75,81,62,37,0,48,56,56,40,12
Pijao,Neiva,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,320,337,292,405,238,288,339,285,301,220,263,241
Pimiento,Fortuna,Valle Medio del Magdalena,EMERALD ENERGY PLC SUCURSAL COLOMBIA,Cesar,143,124,78,129,96,72,42,0,0,8,41,25
Pintado,Guarrojo,Llanos Orientales,HOCOL S.A.,Meta,9,29,79,75,75,41,0,0,92,115,306,1580
Pirito,Garcero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,60,47,45,47,47,49,44,46,64,65,73,62
Pisingo,Casimena,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Casanare,164,149,140,121,7,0,0,0,0,3,0,50
Platanillo,Platanillo,Putumayo,AMERISUR EXPLORACION COLOMBIA,Putumayo,2604,4103,4015,4202,4208,3198,6394,4477,3872,6589,6601,6406
Pompeya,Suria,Llanos Orientales,ECOPETROL S.A.,Meta,4,7,20,14,5,6,10,11,6,2,4,6
Potrillo,Yamu,Llanos Orientales,GEOPARK COLOMBIA PN S.A,Casanare,0,0,0,14,262,467,352,305,197,238,233,244
Primavera,Guachiria,Llanos Orientales,LEWIS ENERGY COLOMBIA INC.,Casanare,81,64,97,90,95,95,96,92,93,93,93,86
Prospecto D,Quifa,Llanos Orientales,META PETROLEUM CORP.,Meta,0,0,0,0,0,0,0,0,0,0,0,9
Prospecto Hamaca,CPE-6,Llanos Orientales,META PETROLEUM CORP.,Meta,0,0,0,0,0,0,0,0,0,0,0,149
Prospecto S,Quifa,Llanos Orientales,META PETROLEUM CORP.,Meta,0,0,0,0,0,0,0,0,0,10,0,12
Provincia,Provincia,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,2556,2653,2423,2913,2936,2924,2843,3110,3240,3315,3697,4345
Puerto Gaitán,CPO-6,Llanos Orientales,TECPETROL COLOMBIA S.A.S.,Meta,94,0,0,0,0,0,0,0,0,0,0,0
Pulí,Pulí,Valle Medio del Magdalena,INTEROIL COLOMBIA E&P,Cundinamarca,125,91,137,108,122,138,146,124,123,0,0,0
