CAMPO,CONTRATO,CUENCA,EMPRESA,DEPARTAMENTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Yaguará,Area Yaguará,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,2548,2433,2404,2634,2592,2600,2757,2961,3059,2944,2914,2939
Yaguazo,Arrendajo,Llanos Orientales,PACIFIC STRATUS ENERGY,Casanare,0,0,0,160,394,282,385,556,598,621,619,624
Yamu,Yamu,Llanos Orientales,GEOPARK COLOMBIA PN S.A,Casanare,230,228,229,223,203,251,211,237,219,188,143,150
Yariguí-Cantagallo,Yarigui-Garzas,Valle Medio del Magdalena,ECOPETROL S.A.,Bolívar,14106,14869,14801,14648,14765,15299,15434,15564,15295,14235,14659,15254
Yatay,Guatiquia,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Meta,4119,3792,3455,3320,3120,2905,2621,2516,2352,2531,1737,2293
Yenac,Casimena,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Casanare,1642,1717,1648,1595,1589,1218,1455,1476,1351,1292,1324,1331
Yopo,Cubiro,Llanos Orientales,ALANGE ENERGY,Casanare,1132,823,820,668,703,639,569,549,442,522,611,608
Yurilla,Mansoyá,Putumayo,ECOPETROL S.A.,Putumayo,233,222,180,209,295,316,281,168,113,278,45,0
Zoe,Midas,Valle Medio del Magdalena,ECOPETROL S.A.,Cesar,0,0,0,0,10,12,2,7,0,0,3,8
Zopilote,Cravoviejo,Llanos Orientales,C&C ENERGÍA,Casanare,3142,3309,3284,3695,3703,3743,4413,4665,4234,4259,4395,4896
