DEPARTAMENTO,CUENCA,EMPRESA,CONTRATO,CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE
VICHADA,LLANOS ORIENTALES,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),LAS GARZAS,GARZAS DORADAS,50,158,150,150,147,152,147,146,145,145
META,LLANOS ORIENTALES,ECOPETROL,APIAY Incremental,GAVAN,2887,2907,2871,2828,2619,2578,2542,2677,2497,2576
HUILA,VALLE SUPERIOR DEL MAGDALENA,EMERALD ENERGY  DE COLOMBIA PLC,MATAMBO,GIGANTE,0,0,0,0,0,0,0,0,0,0
HUILA,VALLE SUPERIOR DEL MAGDALENA,EMERALD ENERGY  DE COLOMBIA PLC,MATAMBO,GIGANTE CABALLOS,540,498,530,207,261,290,337,373,331,212
BOYACA,VALLE MEDIO DEL MAGDALENA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,GIRASOL,6449,6059,6665,6056,5515,5956,5730,5774,5316,5814
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,DE MARES,GOLOSA,0,1,0,0,0,0,0,0,0,0
CASANARE,LLANOS ORIENTALES,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,CACHICAMO-026-22008,GRETA OTO,431,421,418,413,383,378,372,356,354,323
CASANARE,LLANOS ORIENTALES,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,CACHICAMO-026-22008,GUACHARACA,469,388,569,953,707,527,403,510,603,571
CUNDINAMARCA,VALLE MEDIO DEL MAGDALENA,SIPETROL S.A.,DINDAL - RIO SECO,GUADUAS,405,394,389,383,370,329,298,302,304,302
CASANARE,LLANOS ORIENTALES,Lewis Energy Colombia,GUACHIRIA,GUAHIBOS,85,77,76,73,36,70,45,71,68,65
META,LLANOS ORIENTALES,ECOPETROL,CPO-10,GUAINIZ,0,0,0,0,0,0,0,1,0,0
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CORCEL,GUALA,176,170,168,163,143,146,130,133,126,119
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,ESTERO,GUANAPALO,0,0,49,57,57,50,5,36,50,51
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,ESTERO,GUANAPALO,0,0,42,56,50,48,14,53,51,48
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,PERENCO COLOMBIA LIMITED,BOQUERON,GUANDO,0,0,0,0,0,0,10419,10473,10635,10522
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,PETROBRAS COLOMBIA LIMITED,BOQUERON,GUANDO,10816,10531,10845,10963,10948,10815,0,0,0,0
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,PERENCO COLOMBIA LIMITED,BOQUERON,GUANDO SW,0,0,0,0,0,0,272,275,902,978
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,PETROBRAS COLOMBIA LIMITED,BOQUERON,GUANDO SW,375,155,311,314,324,282,0,0,0,0
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,OROCUE,GUARILAQUE,1944,1993,1869,2027,1936,1684,1438,1444,1484,1483
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,RAMSHORL-ECOPETROL,GUARIQUIES,26,25,21,17,21,15,11,0,0,0
META,LLANOS ORIENTALES,HOCOL S.A.,E&E GUARROJO,GUARROJO,1640,1860,1525,1534,1369,1202,1135,1021,951,967
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,GARCERO,GUASAR,601,585,597,602,561,524,315,475,505,521
META,LLANOS ORIENTALES,ECOPETROL,APIAY Incremental,GUATIQUIA,4545,4642,4652,4466,4339,3921,3912,3591,4121,4181
META,LLANOS ORIENTALES,ECOPETROL,APIAY Incremental,GUAYURIBA,2,3,31,53,13,14,13,0,0,0
CAUCA,PUTUMAYO,GRAN TIERRA ENERGY COLOMBIA LTD,GUAYUYACO,GUAYUYACO,377,372,475,546,604,608,609,628,645,680
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA Incremental,HATO NUEVO,179,63,118,76,110,126,151,122,84,0
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,RIO ARIARI,HELICONIA,0,0,0,0,23,13,8,18,50,4
CASANARE,LLANOS ORIENTALES,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,CRAVOVIEJO,HEREDIA,137,167,156,152,162,155,150,143,139,101
CASANARE,LLANOS ORIENTALES,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,HOATZIN,HOATZIN,233,232,228,211,204,212,206,206,204,207
CASANARE,LLANOS ORIENTALES,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,CACHICAMO-026-22008,HOATZIN NORTE,517,533,534,511,544,494,431,431,443,439
PUTUMAYO,PUTUMAYO,ECOPETROL D. SUR,ORITO,HORMIGA,118,95,119,120,118,100,94,101,106,85
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,DE MARES,INFANTAS,10173,10323,9997,9731,9826,9598,9934,10083,10519,11126
META,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,CARACARA,JAGUAR SOUTH WEST,3736,3534,3213,3390,3093,3850,4187,3623,3350,3084
BOYACA,VALLE MEDIO DEL MAGDALENA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,JAZMIN,6524,6366,6620,6608,6483,6417,6398,6386,6220,6072
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,CHIPIRON,JIBA UNIFICADO,421,342,183,0,35,313,207,323,261,227
CASANARE,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,GARIBAY,JILGUERO,1038,998,981,990,974,926,865,817,784,762
CASANARE,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,TIPLE,JILGUERO SUR,743,704,671,633,605,589,580,611,609,599
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,GARCERO,JORCAN,0,1,13,13,11,17,10,15,17,17
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,GARCERO,JORDAN,597,561,598,647,623,567,379,641,634,634
PUTUMAYO,PUTUMAYO,GRAN TIERRA ENERGY COLOMBIA LTD,GUAYUYACO,JUANAMBU,938,945,849,814,743,580,532,682,684,659
CASANARE,LLANOS ORIENTALES,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.,LA PUNTA - CDND/I - VETRA,JUAPE,0,0,0,0,0,0,0,955,2593,2186
SANTANDER,VALLE MEDIO DEL MAGDALENA,PETROLEOS DEL NORTE S.A,E&P LA PALOMA,JUGLAR,244,244,245,249,244,244,4,88,11,0
CASANARE,LLANOS ORIENTALES,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,E&P LLANOS 32,KANANASKIS,0,0,0,5,824,5155,4685,4687,4717,5460
META,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CERRERO,KATMANDU NORTE,0,0,0,0,0,0,0,65,18,101
CASANARE,LLANOS ORIENTALES,PAREX RESOURCES COLOMBIA LTD,CABRESTERO PAREX,KITARO,0,0,0,50,89,88,82,80,74,107
CASANARE,LLANOS ORIENTALES,PAREX RESOURCES COLOMBIA LTD,E&P Llanos 16 Contrato # 45,KONA,3217,2900,2522,1864,1900,1564,1502,1394,1342,1052
HUILA,VALLE SUPERIOR DEL MAGDALENA,HOCOL S.A.,SAN JACINTO,LA CAÑADA,1662,1662,1660,1628,1397,1425,1371,1381,1383,1372
HUILA,VALLE SUPERIOR DEL MAGDALENA,HOCOL S.A.,SAN JACINTO,LA CAÑADA NORTE,249,130,194,241,225,220,241,227,226,224
CASANARE,LLANOS ORIENTALES,PAREX RESOURCES COLOMBIA LTD,EL EDEN PAREX,LA CASONA,346,325,311,332,343,377,329,226,319,309
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,LA CIRA-INFANTAS,LA CIRA,29078,28453,28203,28061,27459,28266,28732,28076,28307,27305
SUCRE,VALLE INFERIOR DEL MAGDALENA,PACIFIC STRATUS ENERGY,LA CRECIENTE,LA CRECIENTE,8,8,8,7,6,7,6,7,6,6
SUCRE,VALLE INFERIOR DEL MAGDALENA,PACIFIC STRATUS ENERGY,LA CRECIENTE,LA CRECIENTE,9,9,9,7,7,8,7,9,8,7
SUCRE,VALLE INFERIOR DEL MAGDALENA,PACIFIC STRATUS ENERGY,LA CRECIENTE,LA CRECIENTE I,0,0,0,15,4,0,0,0,0,2
SUCRE,VALLE INFERIOR DEL MAGDALENA,PACIFIC STRATUS ENERGY,LA CRECIENTE,LA CRECIENTE-D,7,7,7,6,6,7,7,7,7,6
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CASANARE,LA FLORA,448,482,638,666,658,613,528,620,616,555
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CASANARE,LA GLORIA,1238,1183,1031,1032,852,1264,1799,1334,1317,971
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CASANARE,LA GLORIA,1577,1347,1668,1273,1155,635,735,583,577,404
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CASANARE,LA GLORIA NORTE,1947,2096,2169,2200,2165,2211,2189,2051,1922,1833
CASANARE,LLANOS ORIENTALES,PAREX RESOURCES COLOMBIA LTD,E&P LOS OCARROS PAREX,LA GUIRA,0,11,0,0,0,0,0,0,0,0
HUILA,VALLE SUPERIOR DEL MAGDALENA,HOCOL S.A.,RIO PAEZ,LA HOCHA,1510,1444,1405,1371,1372,1284,1368,1398,1233,1253
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,TELLO,LA JAGUA,42,46,46,44,48,49,15,20,0,0
CASANARE,LLANOS ORIENTALES,ECOPETROL D. SUR,LA PUNTA - CDND/I,LA PUNTA,0,0,0,0,494,644,681,697,695,672
META,LLANOS ORIENTALES,ECOPETROL,LIBERTAD-REFORMA INCREMENTAL,LA REFORMA,25,119,108,55,27,0,25,60,39,27
SANTANDER,VALLE MEDIO DEL MAGDALENA,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,LA SALINA,2431,2311,2228,2008,1905,1866,1819,1891,1842,1844
CASANARE,LLANOS ORIENTALES,Canacol Energy Colombia S.A.,E&P LLANOS 23,LABRADOR,3897,3488,3084,2701,2477,3022,3035,2861,2678,2448
CASANARE,LLANOS ORIENTALES,EMERALD ENERGY  DE COLOMBIA PLC,CAMPO RICO,LAS ACACIAS,121,115,109,99,110,98,83,87,84,88
CASANARE,LLANOS ORIENTALES,PAREX RESOURCES COLOMBIA LTD,E&P LOS OCARROS PAREX,LAS MARACAS,12292,12417,12464,12270,12328,11976,10580,9159,7496,7066
CASANARE,LLANOS ORIENTALES,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),LEONA,LEONA A SUR,0,0,0,0,0,10,24,18,0,0
CASANARE,LLANOS ORIENTALES,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),LEONA,LEONA B,83,87,83,80,111,132,124,164,378,190
CASANARE,LLANOS ORIENTALES,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),LEONA,LEONA B NORTE,42,42,43,42,56,74,48,52,52,49
CASANARE,LLANOS ORIENTALES,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),LEONA,LEONA B SUR,316,295,281,263,255,219,204,209,197,188
CASANARE,LLANOS ORIENTALES,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),LEONA,LEONA C,105,88,76,78,73,75,79,76,72,83
CASANARE,LLANOS ORIENTALES,Canacol Energy Colombia S.A.,E&P LLANOS 23,LEONO,590,1993,4481,4494,3359,2881,2432,2343,2045,1718
META,LLANOS ORIENTALES,ECOPETROL,APIAY Incremental,LIBERTAD,267,217,198,197,116,99,130,170,88,0
META,LLANOS ORIENTALES,ECOPETROL,LIBERTAD-REFORMA INCREMENTAL,LIBERTAD NORTE,104,178,252,260,322,311,276,229,200,200
SANTANDER,VALLE MEDIO DEL MAGDALENA,PETROSANTANDER (COLOMBIA) INC.,EL PIÑAL,LIEBRE,62,61,61,60,56,57,58,57,55,55
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,KAPPA RESOURCES COLOMBIA LTD.,GUASIMO,LISA,1,2,0,8,7,5,6,4,4,4
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,DE MARES,LISAMA,1195,1179,1150,1097,1070,1044,1012,880,1015,1056
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,DE MARES,LISAMA PROFUNDO,170,150,162,176,204,186,193,210,198,210
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,DE MARES,LLANITO,2069,1937,2210,2312,2207,2240,2258,2599,2386,2151
META,LLANOS ORIENTALES,HUPECOL OPERATING COLLC,E&P LLANOS 58,LLANOS 58,3121,2729,2699,3036,4060,3983,3846,3494,3751,4107
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA,LOMA LARGA,219,301,386,391,399,416,392,389,412,406
PUTUMAYO,PUTUMAYO,ECOPETROL D. SUR,ORITO,LORO,139,93,48,37,0,0,0,103,121,129
PUTUMAYO,PUTUMAYO,ECOPETROL D. SUR,ORITO,LORO,577,622,429,512,643,445,478,555,593,445
CASANARE,LLANOS ORIENTALES,Lewis Energy Colombia,GUACHIRIA,LOS ACEITES,272,258,245,228,204,218,208,201,182,191
CESAR,CESAR - RANCHERÍA,PETROLEOS DEL NORTE S.A,Tisquirama  B,LOS ANGELES,893,1058,1207,1019,1039,956,991,966,933,967
CASANARE,LLANOS ORIENTALES,COLOMBIA ENERGY DEVELOPMENT,ALCARAVAN,LOS HATOS,26,25,24,24,26,24,22,23,25,13
CASANARE,LLANOS ORIENTALES,EMERALD ENERGY  DE COLOMBIA PLC,CAMPO RICO,LOS POTROS,39,0,0,0,0,0,0,0,0,141
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,ESTERO,LOS TOROS,73,11,0,0,0,0,0,0,0,0
META,LLANOS ORIENTALES,ONGC VIDESH LIMITED,CPO-5,LOTO,0,0,0,0,0,96,4,0,0,0
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CORCEL,MAMBO,0,3,0,2,13,0,16,13,1,9
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,MANA,MANA,1560,1375,1300,1295,1235,1492,1473,1403,1422,1355
CASANARE,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,PUNTERO,MANATUS,240,579,439,1211,963,753,689,604,545,343
CASANARE,LLANOS ORIENTALES,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,E&P LLANOS 32,MANICEÑO,302,340,416,359,378,330,317,301,66,240
PUTUMAYO,PUTUMAYO,ECOPETROL D. SUR,ORITO,MANSOYA,252,221,204,194,21,0,5,158,0,0
CASANARE,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CASIMENA,MANTIS,2508,2168,2675,2690,2220,2262,2824,2380,2121,2438
CAUCA,PUTUMAYO,GRAN TIERRA ENERGY COLOMBIA LTD,SANTANA,MARY,414,452,474,463,470,446,420,423,401,419
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,PERENCO COLOMBIA LIMITED,ESPINAL,MATACHIN NORTE,0,0,0,0,0,0,4654,4829,4674,4433
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,PETROBRAS COLOMBIA LIMITED,ESPINAL,MATACHIN NORTE,5087,4857,4315,4568,4832,4732,0,0,0,0
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,PERENCO COLOMBIA LIMITED,ESPINAL,MATACHIN SUR,0,0,0,0,0,0,110,129,115,52
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,PETROBRAS COLOMBIA LIMITED,ESPINAL,MATACHIN SUR,145,145,140,139,139,137,0,0,0,0
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,PERENCO COLOMBIA LIMITED,ESPINAL,MATACHIN SUR,0,0,0,0,0,0,825,784,740,690
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,PETROBRAS COLOMBIA LIMITED,ESPINAL,MATACHIN SUR,956,957,892,839,786,890,0,0,0,0
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,CHIPIRON,MATANEGRA OESTE,54,57,16,0,7,53,33,56,59,58
CASANARE,LLANOS ORIENTALES,PETROLEOS COLOMBIANOS S.A PETROLCO,TAPIR,MATEGUAFA,11,6,0,0,9,5,0,0,0,0
CASANARE,LLANOS ORIENTALES,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,CRAVOVIEJO,MATEMARRANO,448,1089,970,905,900,757,675,663,645,417
CASANARE,LLANOS ORIENTALES,UNION TEMPORAL MORICHE ( PACIFIC STRATUS ENERGY),E & P MORICHE,MAURITIA ESTE,65,9,41,90,88,89,82,85,26,2
CASANARE,LLANOS ORIENTALES,UNION TEMPORAL MORICHE ( PACIFIC STRATUS ENERGY),E & P MORICHE,MAURITIA NORTE,2,0,37,156,192,272,278,298,322,527
CASANARE,LLANOS ORIENTALES,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),E&P LLANOS 34,MAX,1361,1237,1131,1162,899,637,544,856,1082,1066
BOYACA,CORDILLERA ORIENTAL,NIKOIL ENERGY CORP. SUC. COLOMBIA,CONDOR,MEDINA,32,86,126,71,34,2,0,0,0,0
CAUCA,PUTUMAYO,GRAN TIERRA ENERGY COLOMBIA LTD,SANTANA,MIRAFLOR,78,106,58,98,111,105,104,94,99,95
CAUCA,PUTUMAYO,GRAN TIERRA ENERGY COLOMBIA LTD,GUAYUYACO,MIRAFLOR OESTE,86,0,0,0,0,0,0,0,82,288
PUTUMAYO,PUTUMAYO,EMERALD ENERGY  DE COLOMBIA PLC,MIRTO E&P,MIRTO,21,598,490,534,523,746,653,619,569,539
META,LLANOS ORIENTALES,ECOPETROL,CAÑO SUR E&P,MITO,328,267,154,91,287,263,231,222,199,227
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,RIO ARIARI,MOCHELO,304,224,27,41,90,206,317,493,475,493
CESAR,CESAR - RANCHERÍA,EXXON MOBIL,Valle Medio del Magdalena EXXON,MONO ARAÑA,32,45,92,455,423,376,317,309,291,280
PUTUMAYO,PUTUMAYO,GRAN TIERRA ENERGY COLOMBIA LTD,CHAZA,MOQUETA,4469,4528,4872,5216,5226,5224,5322,5269,5462,4847
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CASANARE,MORICHAL,1605,1604,1494,1401,1326,1265,1173,1123,1093,1041
BOYACA,VALLE MEDIO DEL MAGDALENA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,MORICHE,11674,12638,12479,12845,13744,13434,14553,14311,14598,14543
CASANARE,LLANOS ORIENTALES,PETROPULI S.A.S,MORICHITO,MORICHITO,0,412,311,0,14,311,303,276,260,232
CUNDINAMARCA,VALLE MEDIO DEL MAGDALENA,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,BLOQUE (AREA MORPHO),MORPHO,11,0,0,0,0,0,0,0,0,0
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,COSECHA,MORROCOY,130,371,477,68,77,370,214,256,203,207
PUTUMAYO,PUTUMAYO,UNION TEMPORAL II&B,"CDND/I NANCY, BURDINE, MAXINE",NANCY,122,382,381,390,133,357,287,178,207,381
ANTIOQUIA,Valle Medio del Magdalena,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,NARE,354,339,316,282,273,261,219,221,200,226
CASANARE,LLANOS ORIENTALES,SOGOMI ENERGY S.A.,NASHIRA,NASHIRA NORTE,1229,1079,1113,1101,906,346,623,987,862,888
CORDOBA,VALLE INFERIOR DEL MAGDALENA,GEOPRODUCTION OIL & GAS COMPANY,ESPERANZA,NELSON,2,3,1,3,2,2,2,2,2,2
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,DE MARES,NUTRIA,1543,1602,1534,1507,1518,1514,1426,1480,1510,1521
META,LLANOS ORIENTALES,HOCOL S.A.,E&E GUARROJO,OCELOTE,14542,14099,15338,15742,15093,14693,13953,13971,13887,14677
CASANARE,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,PUNTERO,ONCA,477,322,616,1171,1535,1500,1631,1612,1483,1632
META,LLANOS ORIENTALES,META PETROLEUM,QUIFA,OPALO,1071,1091,1438,1470,1363,1251,1142,969,1175,1140
SANTANDER,VALLE MEDIO DEL MAGDALENA,COMPAÑIA OPERADORA PTS PETROCOLOMBIA S.A. - COPP S.A.,OPON,OPON,18,18,17,14,0,0,0,1,22,41
PUTUMAYO,PUTUMAYO,ECOPETROL D. SUR,ORITO,ORITO,3069,3461,3301,3060,2839,2736,2904,2776,2690,2419
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,OROPENDOLA PERENCO,OROPENDOLA,560,511,453,401,385,391,373,344,333,316
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ORTEGA,ORTEGA,222,219,204,227,223,212,209,208,205,203
CESAR,CESAR - RANCHERÍA,Canacol Energy Colombia S.A.,E&P SANTA ISABEL,OSO PARDO,132,126,121,116,117,117,545,626,468,389
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,CPI ORTEGA,PACANDE,746,673,645,620,608,590,581,560,530,520
META,LLANOS ORIENTALES,ECOPETROL,APIAY,PACHAQUIARO,0,0,0,0,0,0,60,359,472,459
BOYACA,VALLE MEDIO DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,PALAGUA,PALAGUA,6991,6871,6920,7135,7236,7094,6958,6966,6825,6672
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,PALERMO ECOPETROL,PALERMO,234,211,208,214,213,215,222,219,210,224
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,GARCERO,PALMARITO,434,408,412,378,359,349,311,333,331,323
CASANARE,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,TIPLE,PALMERO,0,0,0,72,92,96,91,37,0,0
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA,PALOGRANDE,1293,1375,1336,1225,1217,1277,1226,1132,1399,1189
CASANARE,LLANOS ORIENTALES,Canacol Energy Colombia S.A.,E&P LLANOS 23,PANTRO,0,0,0,79,873,932,889,1227,903,648
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,GARCERO,PARAVARE,168,186,179,191,178,158,138,162,145,154
CASANARE,LLANOS ORIENTALES,EQUION ENERGIA LIMITED,PIEDEMONTE EQUION,PAUTO SUR,21889,21121,20488,20436,21313,21595,21592,20620,20164,20728
CASANARE,LLANOS ORIENTALES,EQUION ENERGIA LIMITED,RECETOR EQUION,PAUTO SUR RECETOR,1542,1541,1547,1288,1544,1556,1554,1466,1436,1432
NORTE DE SANTANDER,CATATUMBO,ECOPETROL,PAVAS CACHIRA,PAVAS,0,0,0,0,0,0,62,45,36,34
NORTE DE SANTANDER,CATATUMBO,UNION TEMPORAL IJP,PAVAS CACHIRA,PAVAS,47,59,62,63,58,53,0,0,0,0
SANTANDER,VALLE MEDIO DEL MAGDALENA,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,PAYOA,872,872,858,830,842,784,836,805,788,763
SANTANDER,VALLE MEDIO DEL MAGDALENA,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,PAYOA WEST,5,13,12,13,12,12,11,9,8,8
MAGDALENA,VALLE INFERIOR DEL MAGDALENA,PACIFIC STRATUS ENERGY,E&P Guama,PEDERNALITO,0,0,0,0,0,0,0,0,6,39
META,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,CARACARA,PEGUITA,1764,1881,1831,1835,2006,1967,1760,1843,2650,2122
META,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,CARACARA,PEGUITA II,1033,1266,1145,993,876,830,713,512,566,505
META,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,CARACARA,PEGUITA III,424,619,547,433,438,513,504,452,414,380
META,LLANOS ORIENTALES,Tecpetrol Colombia S.A.S.,CPO-13,PENDARE,532,528,570,545,524,495,466,432,449,455
ANTIOQUIA,Valle Medio del Magdalena,ECOPETROL,CASABE,PEÑAS BLANCAS,250,191,200,626,567,684,872,1171,1397,1605
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,DE MARES,PEROLES,25,22,15,10,4,9,1,0,0,0
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,PETIRROJO,589,565,551,532,529,516,590,670,651,617
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,PETIRROJO,369,354,345,333,331,323,369,420,408,386
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,PETIRROJO SUR,501,453,428,389,370,348,347,329,238,207
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA,PIJAO,204,208,163,193,194,280,233,220,229,262
CESAR,CESAR - RANCHERÍA,EMERALD ENERGY  DE COLOMBIA PLC,FORTUNA,PIMIENTO,8,8,29,23,11,7,5,3,9,12
META,LLANOS ORIENTALES,HOCOL S.A.,E&E GUARROJO,PINTADO,1302,1155,1186,1122,1012,956,784,746,727,508
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,GARCERO,PIRITO,65,58,53,59,50,48,18,57,50,50
CASANARE,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CASIMENA,PISINGO,1679,2629,2416,2409,2377,2075,2041,2205,2482,2273
PUTUMAYO,PUTUMAYO,Amerisur Exploración Colombia,PLATANILLO,PLATANILLO,7203,6750,6855,6777,5389,6414,7133,6314,5878,5790
META,LLANOS ORIENTALES,ECOPETROL,APIAY Incremental,POMPEYA,1,0,4,6,6,6,2,5,8,7
CASANARE,LLANOS ORIENTALES,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),YAMU,POTRILLO,226,223,194,180,162,138,134,147,162,147
CASANARE,LLANOS ORIENTALES,Lewis Energy Colombia,GUACHIRIA,PRIMAVERA,85,81,78,70,71,72,71,66,60,70
META,LLANOS ORIENTALES,META PETROLEUM,QUIFA,PROSPECTO D,40,36,17,25,33,30,29,27,30,35
META,LLANOS ORIENTALES,META PETROLEUM,CPE-6,PROSPECTO HAMACA,247,253,599,455,568,551,428,484,510,714
META,LLANOS ORIENTALES,META PETROLEUM,QUIFA,PROSPECTO S,20,19,13,18,9,2,0,13,14,14
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,PROVINCIA,PROVINCIA,4242,4292,3998,3963,3840,3346,3240,3299,2929,3076
META,LLANOS ORIENTALES,Tecpetrol Colombia S.A.S.,CPO-6,PUERTO GAITAN,0,0,0,0,12,82,0,0,132,369
CUNDINAMARCA,VALLE MEDIO DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,PULI 109,PULI,77,118,148,136,122,133,134,106,129,132
