DEPARTAMENTO,CUENCA,EMPRESA,CONTRATO,CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE
BOYACA,CORDILLERA ORIENTAL,UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,BOLIVAR,53,53,0,0,51,49,48,48,47,47
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,PROVINCIA INCREMENTAL,BONANZA,1187,1216,1115,1140,1207,1178,1154,1105,1165,1138
BOLIVAR,VALLE INFERIOR DEL MAGDALENA,ECOPETROL,CICUCO,BOQUETE,111,89,92,86,82,62,51,42,55,55
CASANARE,LLANOS ORIENTALES,COLOMBIA ENERGY DEVELOPMENT,CEE RIO VERDE,BORAL,81,81,80,80,79,77,74,73,71,71
MAGDALENA,VALLE INFERIOR DEL MAGDALENA,PETROLIFERA,SIERRA NEVADA,BRILLANTE,0,1,2,5,7,3,0,0,0,0
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA,BRISAS,267,290,299,309,354,325,330,319,304,311
PUTUMAYO,PUTUMAYO,UNION TEMPORAL II&B,"CDND/I NANCY, BURDINE, MAXINE",BURDINE,48,98,117,113,30,57,80,36,68,72
META,LLANOS ORIENTALES,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),CABIONA,CABIONA,904,899,889,878,883,901,884,906,916,951
BOYACA,VALLE MEDIO DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ECOP-OP-DIRECTA,CAIPAL,532,528,530,524,529,538,579,630,638,630
CASANARE,LLANOS ORIENTALES,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,E&P LLANOS 32,CALONA,0,0,0,0,0,110,7,0,0,0
META,LLANOS ORIENTALES,ECOPETROL LLANOS,CDND CAMOA _ECOPETROL,CAMOA,0,0,0,0,0,0,0,0,8,35
CASANARE,LLANOS ORIENTALES,EMERALD ENERGY  DE COLOMBIA PLC,CAMPO RICO,CAMPO RICO,547,652,775,752,755,767,750,750,724,666
CASANARE,LLANOS ORIENTALES,COLOMBIA ENERGY DEVELOPMENT,ALCARAVAN,CANACABARE,61,67,61,60,59,53,49,31,42,46
CASANARE,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,Canaguaro E&P-016 del 2006,CANAGUARO,0,0,0,0,0,0,381,2372,2483,3000
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,COSECHA,CANAGUEY,2794,2777,1553,143,375,1735,1340,1629,1437,1450
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,GARCERO,CANDALAY,0,0,19,23,20,19,0,14,20,18
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,GUATIQUIA,CANDELILLA,3197,2806,2628,1868,2331,2432,2620,2671,2636,2589
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,COSECHA,CANGREJO,0,0,0,0,24,30,50,45,36,28
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,COROCORA,CAÑO DUYA,0,19,53,31,0,0,0,0,0,0
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,COROCORA,CAÑO GANDUL,433,457,470,528,557,497,467,332,0,0
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CASANARE,CAÑO GARZA,91,96,98,116,88,81,3,61,77,266
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CASANARE,CAÑO GARZA ESTE,27,30,23,0,0,0,0,0,58,144
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CASANARE,CAÑO GARZA NORTE,380,176,124,11,378,425,406,470,514,500
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,CRAVO NORTE,CAÑO LIMON,27216,33265,17313,405,4199,33427,20888,32375,31672,31056
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,CRAVO NORTE,CAÑO LIMON,5677,50,16,0,19,256,133,176,168,166
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,RONDON,CAÑO RONDON,8589,8273,7049,57,1952,9590,7544,9523,7809,7579
META,LLANOS ORIENTALES,ECOPETROL,CAÑO SUR E&P,CAÑO SUR,0,0,0,0,0,31,317,244,208,197
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,CRAVO NORTE,CAÑO YARUMAL,6132,6097,2853,66,805,6014,3679,6290,6549,6168
DEPARTAMENTO NN,,EMERALD ENERGY  DE COLOMBIA PLC,OMBU,CAPELLA,2643,3091,3234,3383,2206,3106,3055,3311,3216,3578
META,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,CARACARA,CARACARA SUR A,5801,5639,5502,5300,5049,5025,4725,4568,4649,4324
META,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,CARACARA,CARACARA SUR B y C,3628,3746,4568,4862,4837,4415,4356,4156,3807,3629
NORTE DE SANTANDER,CATATUMBO,MOMPOS OIL COMPANY INC,CARBONERA CDNDI,CARBONERA-LA SILLA,19,20,17,22,22,15,0,0,0,20
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,CARETO,1273,1097,907,819,921,866,1131,1108,1224,995
PUTUMAYO,PUTUMAYO,ECOPETROL D. SUR,ORITO,CARIBE,1520,1455,1413,1476,1369,1347,1338,1278,1150,1146
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,RONDON,CARICARE,8296,7964,5401,487,1365,6051,4294,5460,6760,6527
CASANARE,LLANOS ORIENTALES,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,E&P LLANOS 32,CARMENTEA,0,0,0,0,15,689,1368,2003,2057,2314
CASANARE,LLANOS ORIENTALES,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,CRAVOVIEJO,CARRIZALES,2864,2487,2437,2326,2437,2375,2232,2216,2147,2113
CASANARE,LLANOS ORIENTALES,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),YAMU,CARUPANA,259,224,286,225,286,285,231,288,355,362
CASANARE,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CORCEL,CARUTO,806,759,762,751,720,684,681,610,496,538
ANTIOQUIA,Valle Medio del Magdalena,ECOPETROL,CASABE,CASABE,17662,16543,17067,17208,17934,18587,17411,17367,17475,16663
ANTIOQUIA,Valle Medio del Magdalena,ECOPETROL,CASABE,CASABE SUR,4049,4202,4095,3729,3357,3389,3607,3618,3829,3742
META,LLANOS ORIENTALES,ECOPETROL,CAÑO SUR E&P,FONTANA,0,0,95,13,227,229,227,225,481,222
META,LLANOS ORIENTALES,ECOPETROL LLANOS,CUBARRAL,CASTILLA,58546,58660,58529,62039,64576,63714,60959,59707,58843,64185
META,LLANOS ORIENTALES,ECOPETROL LLANOS,CASTILLA,CASTILLA ESTE,0,0,0,0,0,0,0,194,0,0
META,LLANOS ORIENTALES,ECOPETROL,APIAY,CASTILLA ESTE,596,606,595,563,587,576,571,494,476,488
META,LLANOS ORIENTALES,ECOPETROL,APIAY Incremental,CASTILLA NORTE,46708,44922,42186,37655,39844,39366,42491,43897,41089,44346
CESAR,CESAR - RANCHERÍA,COLOMBIA ENERGY DEVELOPMENT,BOLIVAR,CATALINA,0,0,0,0,0,0,1,0,0,0
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA Incremental,CEBU,101,120,120,133,161,209,149,157,181,131
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,GUATIQUIA,CEIBO,0,360,2486,3418,3825,3694,3481,3330,3358,3736
CASANARE,LLANOS ORIENTALES,RAMSHORN INTERNATIONAL LTD,E&P Llanos 17,CELEUS,393,342,285,163,4,0,92,188,148,115
