Departamento,Municipio,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,JIBA UNIFICADO,207,170,-,148,149,138,119,153,151,154,108,110
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,COSECHA,CANAGUEY,"1,564","1,590",364,"1,516","1,432","1,469",656,702,"1,193","1,419","1,495","1,435"
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,COSECHA,GOLONDRINA,-,-,-,-,-,-,-,-,-,238,-,-
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,COSECHA,MORROCOY,308,262,44,304,301,106,64,88,92,152,190,225
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,COSECHA,REX,163,148,34,141,165,142,212,251,271,317,347,409
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,COSECHA,REX NE,-,-,-,-,-,-,-,-,-,-,-,9
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,COSECHA,TERECAY,"1,298","1,064",336,"1,057","1,101","1,104","1,070","1,081",803,"1,115","1,160","1,458"
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO LIMÓN,55,48,-,49,58,52,3,44,54,53,51,58
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,REDONDO,"1,553","1,391",171,"1,219","1,222","1,160",740,996,"1,122","1,027","1,024","1,344"
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,RONDON,CAÑO RONDÓN,"3,338","3,302",834,"4,481","5,109","4,997","4,163","4,656","4,567","3,802","3,178","2,917"
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,RONDON,CARICARE,"3,331","3,320",718,"3,265","3,428","3,401","2,972","3,204","3,266","3,282","3,192","3,146"
ARAUCA,SARAVENA,ECOPETROL S.A.,ARAUCA,ARAUCA,-,-,-,-,-,-,-,-,-,6,3,3
ARAUCA,TAME,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,CAPACHOS,CAPACHOS,-,-,-,-,-,-,-,-,-,182,629,989
ATLANTICO,SABANALARGA,LEWIS ENERGY COLOMBIA INC,CONTRATO DE EXPLORACIÓN Y PRODUCCIÓN SINÚ SAN JACINTO NORTE 1,BULLERENGUE,45,26,22,18,18,56,-,48,132,115,181,210
BOLIVAR,CANTAGALLO,ECOPETROL S.A.,YARIGUI-CANTAGALLO,YARIGUÍ-CANTAGALLO,"9,683","9,819","9,369","9,516","9,780","9,593","9,715","9,555","9,568","9,352","8,990","8,972"
BOLIVAR,CICUCO,ECOPETROL S.A.,CICUCO,CICUCO,481,481,478,481,480,481,469,461,450,459,448,398
BOLIVAR,TALAIGUA NUEVO,ECOPETROL S.A.,CICUCO,BOQUETE,52,31,34,43,55,40,41,47,44,17,-,11
BOLIVAR,TALAIGUA NUEVO,ECOPETROL S.A.,CICUCO,CICUCO,247,239,246,238,238,244,254,269,264,249,245,236
BOYACA,CORRALES,UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,CORRALES,339,326,323,142,20,237,302,316,376,285,247,405
BOYACA,PUERTO BOYACA,ECOPETROL S.A.,PALAGUA,CAIPAL,837,883,882,878,875,872,841,843,860,805,807,814
BOYACA,PUERTO BOYACA,ECOPETROL S.A.,PALAGUA,PALAGUA,"5,708","5,571","5,569","5,635","5,610","5,656","5,670","5,896","5,741","5,822","5,563","5,534"
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,GUAGUAQUI TERAN,VELASQUEZ,"3,348","3,449","3,250","3,182","3,324","3,247","3,135","3,179","3,226","3,104","3,097","3,170"
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,ABARCO,"3,550","3,914","3,399","3,339","3,654","3,773","3,809","3,596","3,204","3,441","3,236","3,306"
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,GIRASOL,"3,830","3,924","3,723","3,908","3,784","3,546","3,468","3,336","3,619","3,613","3,485","3,494"
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,JAZMIN,"4,642","4,490","4,447","4,608","4,601","4,503","4,473","4,377","4,476","4,421","4,414","4,455"
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,MORICHE,"14,175","14,053","13,922","13,587","12,798","12,530","12,835","12,554","13,080","12,487","12,445","12,390"
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,UNDERRIVER,"1,685","1,748","1,763","1,457","1,358","1,439","1,482","1,415","1,422","1,324","1,788","1,636"
BOYACA,PUERTO BOYACA,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,VMM-11,GLAUCA,-,-,-,-,-,-,-,-,1,94,65,-
BOYACA,TOPAGA,UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,BOLÍVAR,44,46,50,49,48,47,47,47,46,45,45,45
CASANARE,AGUAZUL,CEPSA COLOMBIA S.A. - CEPCOLSA,E&P LLANOS 22,RAMIRIQUI,"2,044","1,518","1,592","1,489","2,150","2,561","2,349","2,303","2,536","2,495","2,420","2,350"
CASANARE,AGUAZUL,ECOPETROL S.A.,CUSIANA NORTE,CUSIANA NORTE,"1,488","1,513","1,479","1,546","1,519","1,630","1,661","1,621","1,631","1,389","1,494","1,497"
CASANARE,AGUAZUL,ECOPETROL S.A.,ECOP-SDLA-OP-DIRECTA,CUPIAGUA,"7,703","7,576","7,493","7,219","7,438","7,219","6,332","6,507","6,429","6,782","6,585","6,149"
CASANARE,AGUAZUL,ECOPETROL S.A.,ECOP-SDLA-OP-DIRECTA,CUPIAGUA SUR,"2,529","2,535","2,540","2,520","2,344","2,349","2,148","2,102","2,109","2,114","2,013","2,061"
CASANARE,AGUAZUL,ECOPETROL S.A.,RECETOR EQUION,CUPIAGUA LIRIA,-,-,-,-,-,"3,620","3,391","3,402","3,317","3,403","3,400","3,211"
CASANARE,AGUAZUL,EQUION ENERGÍA LIMITED,RECETOR EQUION,CUPIAGUA LIRIA,"3,632","3,673","3,662","3,530","3,359",-,-,-,-,-,-,-
CASANARE,AGUAZUL,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,E&P LLANOS 26,RUMBA,"4,558","3,208","3,708","4,638","3,572","2,897","2,716","2,676","2,468","2,312","2,323","1,833"
CASANARE,AGUAZUL,PERENCO COLOMBIA LIMITED,CASANARE,LA GLORIA,209,206,216,215,213,202,185,187,195,177,302,633
CASANARE,MANI,CEPSA COLOMBIA S.A. - CEPCOLSA,PUNTERO,ONCA,633,609,602,522,-,-,-,-,-,-,-,318
CASANARE,MANI,COLOMBIA ENERGY DEVELOPMENT CO.,ALCARAVAN,ESTERO,99,99,99,99,99,98,99,99,98,83,-,71
CASANARE,MANI,COLOMBIA ENERGY DEVELOPMENT CO.,LOS HATOS,LOS HATOS,-,32,52,51,51,51,51,44,50,44,44,44
CASANARE,MANI,DCX S.A.S.,MORICHITO,MORICHITO,61,52,31,52,54,53,33,34,52,52,48,42
CASANARE,MANI,ECOPETROL S.A.,CONVENIO DE EXPLOTACIÓN DE HIDROCARBUROS DEL ÁREA DE OPERACIÓN DIRECTA LA PUNTA,LA PUNTA,397,424,428,472,509,507,-,-,-,-,-,-
CASANARE,MANI,HOCOL S.A.,CONVENIO DE EXPLOTACIÓN DE HIDROCARBUROS DEL ÁREA DE OPERACIÓN DIRECTA LA PUNTA,LA PUNTA,-,-,-,-,-,-,508,497,485,495,495,499
CASANARE,MANI,ECOPETROL S.A.,UPIA-ECOPETROL,SANTIAGO,854,851,833,810,691,593,587,576,591,566,645,799
CASANARE,MANI,EMERALD ENERGY PLC SUCURSAL COLOMBIA,CAMPO RICO,CAMPO RICO,-,54,282,381,332,358,362,345,346,339,322,340
CASANARE,MANI,EMERALD ENERGY PLC SUCURSAL COLOMBIA,CAMPO RICO,CENTAURO SUR,-,-,4,58,71,75,76,66,67,70,64,120
CASANARE,MANI,PERENCO COLOMBIA LIMITED,CASANARE,LA GLORIA,267,283,317,311,323,293,278,283,309,310,320,294
CASANARE,MANI,PETROLEOS SUD AMERICANOS SUCURSAL COLOMBIA,ENTRERRIOS,ENTRERRIOS,775,715,714,797,776,746,752,733,710,691,656,612
CASANARE,MANI,FRONTERA ENERGY,CASIMENA,MANTIS,"1,178","1,153","1,171","1,135","1,007",999,"1,006","1,002",986,971,969,953
CASANARE,MANI,FRONTERA ENERGY,CASIMENA,PISINGO,"1,298",821,545,"1,056","1,046","1,062","1,051","1,036","1,004",994,993,980
CASANARE,MANI,FRONTERA ENERGY,CASIMENA,YENAC,657,516,360,458,586,597,599,595,592,579,577,556
CASANARE,MANI,VERANO ENERGY (BARBADOS) LIMITED,E&P LLANOS 32,BANDOLA,-,-,14,-,-,-,-,-,-,-,-,-
CASANARE,MANI,VERANO ENERGY (BARBADOS) LIMITED,E&P LLANOS 32,MANICEÑO,-,-,7,-,-,-,-,-,-,-,-,-
CASANARE,MONTERREY,FRONTERA ENERGY,Canaguaro E&P-016 del 2006,Canaguay,894,825,722,598,309,76,25,179,154,429,450,231
CASANARE,MUNICIPIO NN,EQUION ENERGÍA LIMITED,NISCOTA,HURÓN,-,-,-,-,-,-,-,-,-,"2,428","3,125","2,884"
CASANARE,MUNICIPIO NN,NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,DOROTEA,DOROTEA E,84,86,86,85,86,86,85,85,84,85,85,84
CASANARE,NUNCHIA,PERENCO COLOMBIA LIMITED,CASANARE,TIERRA BLANCA,8,2,-,0,-,6,5,-,-,-,0,0
CASANARE,OROCUE,CANACOL ENERGY COLOMBIA S.A.,RANCHO HERMOSO ACUERDO PART CASANARE,RANCHO HERMOSO,-,-,-,-,"1,347","1,318","1,291","1,251","1,238","1,222","1,319","1,328"
CASANARE,OROCUE,CANACOL ENERGY COLOMBIA S.A.,RANCHO HERMOSO ACUERDO PART CASANARE-CANACOL,RANCHO HERMOSO 4,"1,049","1,198","1,132","1,364",-,-,-,-,-,-,-,-
CASANARE,OROCUE,CNE OIL & GAS S.A.S,E&P LLANOS 23,LABRADOR,"1,027","1,021",950,893,884,812,791,750,761,747,721,716
CASANARE,OROCUE,COLOMBIA ENERGY DEVELOPMENT CO.,ALCARAVAN,CANACABARE,-,-,-,261,"1,338","1,319",959,834,773,710,630,569
CASANARE,OROCUE,EMERALD ENERGY PLC SUCURSAL COLOMBIA,CAMPO RICO,VIGIA SUR,889,875,887,873,673,914,900,857,875,853,850,834
CASANARE,OROCUE,GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,CACHICAMO-026-22008,ANDARRIOS,204,204,200,196,201,204,195,184,177,170,165,158
CASANARE,OROCUE,GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,CACHICAMO-026-22008,CIRIGÜELO,245,238,196,184,173,190,205,202,194,176,173,193
CASANARE,OROCUE,GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,CACHICAMO-026-22008,GRETA OTO,215,211,214,206,207,203,196,199,195,190,182,180
CASANARE,OROCUE,GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,CACHICAMO-026-22008,GUACHARACA,237,236,229,227,229,223,217,207,204,201,199,191
CASANARE,OROCUE,GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,CACHICAMO-026-22008,HOATZIN,108,112,103,97,101,95,80,67,75,81,77,76
CASANARE,OROCUE,GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,CACHICAMO-026-22008,HOATZIN NORTE,285,305,318,311,294,306,313,299,297,299,286,272
CASANARE,OROCUE,GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,CRAVOVIEJO,BASTIDAS,290,248,242,263,272,285,214,132,142,95,41,43
CASANARE,OROCUE,GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,CRAVOVIEJO,CARRIZALES,"1,002","1,029",961,933,955,899,819,791,752,703,660,672
CASANARE,OROCUE,GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,CRAVOVIEJO,MATEMARRANO,193,201,195,189,179,168,170,172,162,152,141,129
CASANARE,OROCUE,GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,CRAVOVIEJO,SAIMIRÍ,352,339,320,306,326,339,182,182,164,155,102,198
CASANARE,OROCUE,GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,CRAVOVIEJO,ZOPILOTE,"1,699","1,695","1,654","1,556","1,489","1,454","1,467","1,473","1,493","1,481","1,475","1,444"
CASANARE,OROCUE,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,ALTAIR,ALTAIR,57,57,51,51,54,41,26,51,49,52,30,55
CASANARE,OROCUE,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,ALTAIR,TURACO,-,-,-,1,1,-,-,-,-,-,-,-
CASANARE,OROCUE,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,LLA 47,VIKINGO,-,-,-,-,-,-,53,189,413,512,515,550
CASANARE,OROCUE,LAS QUINCHAS RESOURCE CORP.,E & P MORICHE,MAURITÍA ESTE,32,32,34,102,76,53,19,9,7,13,0,-
CASANARE,OROCUE,LAS QUINCHAS RESOURCE CORP.,E & P MORICHE,MAURITÍA NORTE,"1,459","1,440","1,393","1,453","1,659","1,868","1,573","1,919","1,664","1,921","1,561","1,596"
CASANARE,OROCUE,OIRU CORPORATION,NASHIRA,ALEPE,168,168,167,167,166,-,-,-,-,-,-,-
CASANARE,OROCUE,OIRU CORPORATION,NASHIRA,ALVA SUR,-,-,29,64,79,-,-,-,-,-,-,-
CASANARE,OROCUE,OIRU CORPORATION,NASHIRA,NASHIRA NORTE,913,882,925,742,828,-,-,-,-,-,-,-
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,ESTERO,GUANAPALO,-,12,103,110,105,88,117,130,124,124,130,125
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,CANDALAY,-,1,7,14,14,-,-,-,-,-,-,-
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,GUASAR,309,315,273,269,305,309,289,263,287,298,280,263
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,JORCAN,26,24,23,16,18,9,17,18,18,15,15,17
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,JORDÁN,815,752,712,704,731,627,639,593,596,614,564,576
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,PARAVARE,163,169,181,174,160,181,190,188,200,202,196,204
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,PIRITO,63,59,47,48,32,52,48,50,56,47,45,47
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,SARDINAS,805,742,697,694,769,876,833,940,746,995,"1,043","1,072"
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,OROCUE,GUARILAQUE,"1,509","1,405","1,592","1,394","1,353","1,436","1,377","1,359","1,390","1,378","1,369","1,359"
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,OROPENDOLA PERENCO,OROPÉNDOLA,150,152,139,153,193,178,174,174,176,153,144,134
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,OROPENDOLA PERENCO,VIREO,149,144,152,155,149,147,160,186,176,176,160,162
CASANARE,OROCUE,FRONTERA ENERGY,CASANARE ESTE,CURITO,233,208,196,189,181,171,162,233,236,282,298,283
CASANARE,OROCUE,FRONTERA ENERGY,MAPACHE,TUCUSO,-,-,-,-,47,384,404,361,177,147,110,152
CASANARE,OROCUE,OIRU CORPORATION,NASHIRA,ALEPE,-,-,-,-,-,166,165,159,163,176,162,160
CASANARE,OROCUE,OIRU CORPORATION,NASHIRA,ALVA SUR,-,-,-,-,-,80,79,18,-,-,-,-
CASANARE,OROCUE,OIRU CORPORATION,NASHIRA,NASHIRA NORTE,-,-,-,-,-,772,737,759,867,985,842,868
CASANARE,OROCUE,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S.,CDNDI LA PUNTA,JUAPE,372,386,494,479,470,456,426,340,317,294,263,224
CASANARE,OROCUE,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S.,CDNDI LA PUNTA,SANTO DOMINGO,754,769,798,768,718,639,576,578,550,511,467,466
CASANARE,OROCUE,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S.,CDNDI LA PUNTA,SANTO DOMINGO NORTE,605,601,615,557,511,483,476,479,458,439,461,547
CASANARE,PAZ DE ARIPORO,GEOPARK COLOMBIA S.A.S.,YAMU,YAMÚ,-,-,12,-,-,-,-,-,4,-,-,-
CASANARE,PAZ DE ARIPORO,GEOPARK COLOMBIA S.A.S.,LA CUERVA,CUERVA ESTE,2,-,-,0,-,-,-,-,-,-,-,0
CASANARE,PAZ DE ARIPORO,GEOPARK COLOMBIA S.A.S.,LA CUERVA,CUERVA NORESTE,49,71,68,63,66,62,58,58,57,57,56,56
CASANARE,PAZ DE ARIPORO,GEOPARK COLOMBIA S.A.S.,LA CUERVA,CUERVA OESTE,520,513,521,499,494,472,459,450,426,407,403,404
CASANARE,PAZ DE ARIPORO,GEOPARK COLOMBIA S.A.S.,LA CUERVA,CUERVA SUR,48,62,64,45,30,31,28,28,48,111,119,118
CASANARE,PAZ DE ARIPORO,NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,DOROTEA,DOROTEA B,"2,529","2,428","2,300","2,214","2,093","2,016","2,195","2,157","2,091","2,050","1,980","1,943"
CASANARE,PAZ DE ARIPORO,NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,LEONA,LEONA B,227,271,284,161,64,63,61,60,60,58,55,53
CASANARE,PAZ DE ARIPORO,NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,LEONA,LEONA B NORTE,105,74,-,-,-,-,-,-,-,-,-,-
CASANARE,PAZ DE ARIPORO,NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,LEONA,LEONA B SUR,125,118,116,113,94,87,81,81,82,81,80,80
CASANARE,PAZ DE ARIPORO,NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,LEONA,LEONA C,44,44,41,39,40,39,38,33,33,32,32,31
CASANARE,PAZ DE ARIPORO,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E ARRENDAJO,AZOR,526,516,520,465,459,445,433,407,387,371,357,356
CASANARE,PAZ DE ARIPORO,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E ARRENDAJO,YAGUAZO,"1,645","1,576","1,536","1,514","1,499","1,508","1,509","1,461","1,404","1,354",998,"1,083"
CASANARE,PAZ DE ARIPORO,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,E&P LLANOS 40,BEGONIA,768,760,718,688,662,639,633,593,573,548,539,527
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,CASANARE,CAÑO GARZA,-,31,114,116,67,215,243,237,192,165,190,158
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,CASANARE,CAÑO GARZA ESTE,160,271,284,264,303,296,279,276,257,251,254,247
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,CASANARE,CAÑO GARZA NORTE,72,222,200,215,213,225,224,205,215,227,234,214
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,ESTERO,ABEJAS,151,146,153,154,162,119,166,160,191,164,182,171
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,ESTERO,CHAPARRITO,122,133,128,129,92,-,117,283,339,377,380,373
CASANARE,PAZ DE ARIPORO,TABASCO OIL COMPANY LLC,JAGUEYES,ANDALUZ,-,-,-,-,28,57,129,335,298,186,299,258
CASANARE,YOPAL,ECOPETROL S.A.,RECETOR EQUION,PAUTO SUR RECETOR,-,-,-,-,-,868,726,680,647,672,741,733
CASANARE,TAURAMENA,GEOPARK COLOMBIA S.A.S.,E&P LLANOS 34,CHACHALACA,-,-,-,-,-,-,-,-,0,-,-,-
CASANARE,TAURAMENA,GEOPARK COLOMBIA S.A.S.,E&P LLANOS 34,CHIRICOCA,38,722,945,954,961,962,962,964,963,960,960,815
CASANARE,TAURAMENA,GEOPARK COLOMBIA S.A.S.,E&P LLANOS 34,JACANA,-,-,-,-,"17,483","17,851","18,871","19,253","19,847","20,350",-,-
CASANARE,TAURAMENA,GEOPARK COLOMBIA S.A.S.,E&P LLANOS 34,JACANA,-,-,-,-,-,-,-,-,-,-,"21,326","20,688"
CASANARE,PORE,GEOPARK COLOMBIA S.A.S.,YAMU,CARUPANA,-,-,271,256,258,262,260,330,332,332,298,286
CASANARE,PORE,GEOPARK COLOMBIA S.A.S.,YAMU,POTRILLO,-,-,27,48,51,58,62,68,51,69,72,76
CASANARE,PORE,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,E&P Llanos 16 Contrato # 45,KONA,393,336,268,30,-,-,-,-,-,24,-,-
CASANARE,SAN LUIS DE PALENQUE,CNE OIL & GAS S.A.S,E&P LLANOS 23,LEONO,366,371,370,350,352,294,294,289,167,163,159,262
CASANARE,SAN LUIS DE PALENQUE,CNE OIL & GAS S.A.S,E&P LLANOS 23,PANTRO,27,27,27,7,-,-,-,-,-,-,-,2
CASANARE,SAN LUIS DE PALENQUE,CNE OIL & GAS S.A.S,E&P LLANOS 23,TIGRO,36,36,36,23,-,11,18,16,14,15,15,15
CASANARE,SAN LUIS DE PALENQUE,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E CUBIRO,ARAUCO,96,92,87,84,81,75,73,73,74,74,71,70
CASANARE,SAN LUIS DE PALENQUE,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E CUBIRO,CARETO,306,306,282,273,267,265,259,259,265,255,231,218
CASANARE,SAN LUIS DE PALENQUE,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E CUBIRO,COPA,"1,830","2,761","2,513","2,502","2,615","2,504","2,347","2,248","2,111","1,875","2,193","2,171"
CASANARE,SAN LUIS DE PALENQUE,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E CUBIRO,COPA A NORTE,379,361,379,371,384,406,396,397,400,393,422,413
CASANARE,SAN LUIS DE PALENQUE,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E CUBIRO,COPA A SUR,227,210,186,193,183,176,157,142,133,127,115,87
CASANARE,SAN LUIS DE PALENQUE,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E CUBIRO,COPA B,379,353,343,274,261,261,251,248,243,229,214,203
CASANARE,SAN LUIS DE PALENQUE,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E CUBIRO,COPA C,278,271,284,285,292,269,266,265,254,251,114,50
CASANARE,SAN LUIS DE PALENQUE,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E CUBIRO,COPA D,748,759,735,689,741,715,654,659,615,598,599,571
CASANARE,SAN LUIS DE PALENQUE,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E CUBIRO,PETIRROJO,-,-,-,-,244,-,-,-,-,-,-,-
CASANARE,SAN LUIS DE PALENQUE,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E CUBIRO,PETIRROJO SUR,31,45,36,30,26,24,25,28,34,34,34,32
CASANARE,SAN LUIS DE PALENQUE,PACIFIC STRATUS ENERGY COLOMBIA CORP,E&E CUBIRO,TIJERETO,-,-,-,-,-,30,101,86,59,60,54,54
CASANARE,SAN LUIS DE PALENQUE,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,E&P LLANOS 30,ADALIA,667,679,658,629,612,598,608,571,564,570,544,547
CASANARE,SAN LUIS DE PALENQUE,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,E&P LOS OCARROS PAREX,LAS MARACAS,"1,721","1,299",922,936,726,594,900,769,734,647,592,459
CASANARE,SAN LUIS DE PALENQUE,PERENCO COLOMBIA LIMITED,CASANARE,BARQUEREÑA,281,279,247,236,261,206,64,196,223,234,232,223
CASANARE,SAN LUIS DE PALENQUE,PERENCO COLOMBIA LIMITED,CASANARE,CRAVO ESTE,431,395,377,358,361,365,349,328,327,177,389,245
