Departamento,Municipio,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
ANTIOQUIA,PUERTO NARE,ECOPETROL S.A.,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,"1,231","1,109","1,026","1,036","1,047","1,122","1,133","1,164","1,130","1,078","1,156","1,099"
ANTIOQUIA,PUERTO NARE,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,NARE,272,257,253,233,262,216,194,162,232,244,222,209
ANTIOQUIA,PUERTO NARE,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,UNDERRIVER,936,797,880,900,994,802,765,815,888,846,720,833
ANTIOQUIA,PUERTO TRIUNFO,ECOPETROL S.A.,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,393,386,362,365,396,382,369,342,280,264,282,278
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE,CASABE,"12,745","12,535","12,756","12,720","12,492","13,127","12,377","12,084","11,965","11,751","11,932","11,634"
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE,CASABE SUR,"2,301","2,487","2,393","2,268","2,187","2,277","2,323","2,274","2,125","2,254","2,194","2,123"
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE,PEÑAS BLANCAS,"1,437","1,532","1,420","1,399","1,391","1,193","1,193","1,182","1,190","1,204","1,200","1,118"
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,CHIPIRÓN,"11,376","13,009","3,673","12,833","11,878","11,159","10,682","11,371","11,045","10,036","9,120","8,406"
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,GALEMBO,5,-,54,400,297,234,215,233,262,253,38,226
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,MACANA,111,524,209,440,505,519,422,455,397,350,454,407
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO LIMÓN,"21,342","20,543","1,472","19,513","21,137","21,463","17,795","20,321","20,343","20,225","18,639","20,420"
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO YARUMAL,"4,033","3,714",172,"3,455","3,991","3,922","2,720","3,487","3,738","3,454","3,678","3,773"
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,TONINA,16,32,-,24,18,21,14,22,23,22,19,14
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,ARAGUATO,150,138,21,148,150,138,197,211,210,211,224,237
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,BAYONERO,202,901,220,508,245,144,874,507,678,615,518,711
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,CHIPIRÓN,338,298,83,293,126,178,145,194,213,226,434,607
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,GALEMBO,-,-,-,-,-,-,-,-,-,-,186,-
