Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
SUCRE,SAN PEDRO,9.396835638,-75.03741815,POINT (-75.03741815 9.396835638),Frontera Energy Colombia Corp Sucursal Colombia,LA CRECIENTE,LA CRECIENTE,1.72,1.39,1.51,0.94,1.18,1.16,1.27,1.13,1.03,0.89,0.95,0.19
TOLIMA,ALVARADO,4.582625784,-74.98630686,POINT (-74.98630686 4.582625784),HOCOL S.A.,ARMERO,TOTARE,72.13,73.19,73,70.43,29.06,0,0,0,0,0,0,0
TOLIMA,CHAPARRAL,3.743693084,-75.58986634,POINT (-75.58986634 3.743693084),HOCOL S.A.,TOLIMA,OLINI,67.94,57.09,55.95,56.45,57,52.99,39.37,36.64,43.61,48.97,48.78,52.17
TOLIMA,CHAPARRAL,3.743693084,-75.58986634,POINT (-75.58986634 3.743693084),HOCOL S.A.,TOLIMA,RÍO SALDAÑA,857.97,816.66,1282.97,1287.09,1214.32,1185.98,1167.73,1133.84,1098.41,1100.84,1032.43,1018.42
TOLIMA,ESPINAL,4.166476969,-74.89352941,POINT (-74.89352941 4.166476969),Frontera Energy Colombia Corp Sucursal Colombia,ABANICO,ABANICO,0,0,0,472.8,436.48,461.2,497.81,478.22,405.57,398.07,397.8,393.66
TOLIMA,ESPINAL,4.166476969,-74.89352941,POINT (-74.89352941 4.166476969),Frontera Energy Colombia Corp Sucursal Colombia,ABANICO,ABANICO,507.72,482.58,486.56,0,0,0,0,0,0,0,0,0
TOLIMA,GUAMO,4.076501341,-74.97657287,POINT (-74.97657287 4.076501341),LAS QUINCHAS RESOURCE CORP SURCURSAL COLOMBIA,GUASIMO,LISA,0.03,0,0,0,0,0,0,0,0,0,0,0
TOLIMA,MELGAR,4.193215498,-74.60517497,POINT (-74.60517497 4.193215498),PERENCO OIL AND GAS COLOMBIA LIMITED.,BOQUERÓN,EL NIÑO,0,0,0,0,0,0,0,0,0,0,0,24.61
TOLIMA,MELGAR,4.193215498,-74.60517497,POINT (-74.60517497 4.193215498),PERENCO OIL AND GAS COLOMBIA LIMITED.,BOQUERÓN,GUANDO,5224.41,5067.82,5070.07,4902.29,4805.49,4687.14,4648.78,4683.06,4652.86,4634.62,4522.84,4614.29
TOLIMA,MELGAR,4.193215498,-74.60517497,POINT (-74.60517497 4.193215498),PERENCO OIL AND GAS COLOMBIA LIMITED.,BOQUERÓN,GUANDO SW,2027.15,3081.76,3415.05,3239.48,3072.06,2932.23,2706.94,2741.05,2635.39,2546.21,2497.11,2500
TOLIMA,ORTEGA,3.937793962,-75.27824314,POINT (-75.27824314 3.937793962),HOCOL S.A.,ORTEGA,ORTEGA,197.18,197.76,190.37,191.97,194.32,194.69,187.4,187.99,190.85,187.14,183.5,182.02
TOLIMA,ORTEGA,3.937793962,-75.27824314,POINT (-75.27824314 3.937793962),HOCOL S.A.,ORTEGA,PACANDE,231.19,216.87,224.74,214.26,175.7,37.3,40.56,40.49,39.26,43.22,43.73,170.8
