Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
ANTIOQUIA,PUERTO NARE,6126539139,-7470317722,POINT (-7470317722 6126539139),MANSAROVAR ENERGY COLOMBIA LTD,NARE SUR,NARE,4672.09,4136.12,5274.89,5419.07,5042.42,3126.19,4820.87,4322.84,5432.75,5225.86,4572.26,3715.32
ANTIOQUIA,PUERTO NARE,6126539139,-7470317722,POINT (-7470317722 6126539139),MANSAROVAR ENERGY COLOMBIA LTD,UNDERRIVER,NARE,15255.35,15962.53,19848.9,19714.8,13303.2,6861.87,10054.93,13101.88,15452.02,16925.71,10499.45,9290.69
ANTIOQUIA,PUERTO NARE,6126539139,-7470317722,POINT (-7470317722 6126539139),ECOPETROL S.A.,OPERACIÓN-DIRECTA ECOPETROL,AREA TECA-COCORNA,37213.83,35076.14,44004.69,44436.55,46470.26,44192.42,39101.44,38678.85,39348.33,40286.39,43744.14,58364.82
ANTIOQUIA,PUERTO TRIUNFO,5954830151,-746861918,POINT (-746861918 5954830151),ECOPETROL S.A.,OPERACIÓN-DIRECTA ECOPETROL,AREA TECA-COCORNA,2386.46,2245.33,2468.56,2176.84,2191.27,1962.24,1483.13,1594.1,2393.66,2126.09,2165.43,1944.97
ANTIOQUIA,YONDO,6925159318,-7415824041,POINT (-7415824041 6925159318),ECOPETROL S.A.,CASABE,MAGDALENA MEDIO-CASABE,323565.27,274172.71,314934.9,295549.91,300914.43,281905.12,287782.76,291204.47,281558.06,291757.91,278085.58,283091.68
ANTIOQUIA,YONDO,6925159318,-7415824041,POINT (-7415824041 6925159318),ECOPETROL S.A.,CASABE SUR,MAGDALENA MEDIO-CASABE,53834.59,51017.81,52308.91,49946.1,53941.9,52528.88,55181.9,57910.48,59192.61,62903.78,62613.82,69828.85
ANTIOQUIA,YONDO,6925159318,-7415824041,POINT (-7415824041 6925159318),ECOPETROL S.A.,PEÑAS BLANCAS,MAGDALENA MEDIO-CASABE,29735.75,26327.15,29784.51,27827.79,28655.23,27564.7,27300.81,25087.01,22539.69,24702.04,24382.81,22647.23
ARAUCA,ARAUCA,6796280825,-7050921153,POINT (-7050921153 6796280825),SIERRACOL ENERGY ARAUCA LLC,CAÑO LIMÓN,CRAVO NORTE,616124.18,558851.52,618781.33,609509.24,623255.81,580530.81,438454.94,567494.55,580200.42,588902.91,561620.7,577974.46
ARAUCA,ARAUCA,6796280825,-7050921153,POINT (-7050921153 6796280825),SIERRACOL ENERGY ARAUCA LLC,CAÑO YARUMAL,CRAVO NORTE,80278.4,69441.14,74234.61,75774.06,79591.77,68878.75,44812.2,79706.77,80104.56,80014.92,86979.91,86620.88
ARAUCA,ARAUCA,6796280825,-7050921153,POINT (-7050921153 6796280825),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,CHIPIRÓN,126253.61,115252.35,142576.65,151033.53,163937.21,156037.07,151604.17,144523.26,134198.05,135588.36,135492.93,136391.8
